Kind,Name,Enforcement Action,Violation Kind,Violation Name,Violation Namespace,Violation Message,Violation Enforcement Action
K8sRequiredProbes,must-have-probes,dryrun,Pod,fluentbit,kube-system,Container <fluentbit-gke> in your <Pod> <fluentbit-gke-9bdt6> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,event-exporter-gke,kube-system,Container <prometheus-to-sd-exporter> in your <Pod> <event-exporter-gke-64f56d6fd9-xzlzd> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,ingress-nginx-admission,ingress-nginx,Container <patch> in your <Pod> <ingress-nginx-admission-patch-2llmr> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,collector-xpq6w,gmp-system,Container <config-reloader> in your <Pod> <collector-xpq6w> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,collector-xjwj9,gmp-system,Container <config-reloader> in your <Pod> <collector-xjwj9> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,kube-state,gke-managed-cim,Container <ksm-metrics-collector> in your <Pod> <kube-state-metrics-0> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,cluster-api-provider-vcluster-controller,cluster-api-provider-vcluster-system,Container <kube-rbac-proxy> in your <Pod> <cluster-api-provider-vcluster-controller-manager-74b47b684wzg75> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,cert-manager,cert-manager,Container <cert-manager-controller> in your <Pod> <cert-manager-fdd97855b-hwjw9> has no <readinessProbe>,dryrun
K8sRequiredProbes,must-have-probes,dryrun,Pod,cert-manager-cainjector,cert-manager,Container <cert-manager-cainjector> in your <Pod> <cert-manager-cainjector-9d956987c-zx5sm> has no <readinessProbe>,dryrun
